"户籍","性别","年龄","工作时间.月.","是否离职"
"异地","男",30,21,0
"异地","男",35,9,1
"异地","女",27,8,1
"本地","男",20,26,1
"异地","男",27,30,0
"异地","男",26,24,1
"异地","男",27,19,1
"异地","女",40,19,1
"异地","男",43,32,0
"异地","男",47,8,1
"本地","男",37,29,1
"异地","女",30,16,1
"本地","男",32,11,1
"异地","女",40,17,0
"本地","男",30,17,1
"本地","男",30,9,1
"本地","女",30,13,0
"本地","男",30,28,1
"异地","女",27,12,1
"异地","男",31,5,1
"异地","男",25,13,1
"异地","女",22,14,1
"本地","男",46,20,1
"异地","女",26,5,1
"本地","女",31,19,0
"本地","男",26,11,1
"本地","女",26,9,1
"本地","男",30,4,1
"本地","男",31,15,1
"本地","男",32,20,0
"本地","男",30,19,0
"本地","男",20,12,1
"本地","女",25,9,1
"本地","男",26,29,0
"异地","女",30,23,1
"异地","女",33,26,0
"本地","男",30,15,1
"异地","男",21,16,0
"异地","男",42,13,1
"异地","男",25,7,1
"异地","女",25,4,1
"异地","女",31,5,1
"异地","男",30,13,0
"异地","女",43,6,1
"本地","女",42,7,0
"异地","男",32,5,1
"本地","男",25,29,0
"异地","男",26,20,0
"异地","女",30,11,1
"异地","男",26,18,0
"异地","男",31,17,0
"本地","男",37,8,1
"异地","男",31,6,1
"本地","男",20,4,1
"本地","男",31,31,0
"本地","男",26,30,1
"本地","男",21,18,1
"本地","男",30,18,1
"本地","女",26,17,0
"本地","男",30,5,1
"本地","男",35,12,1
"异地","女",26,11,1
"异地","男",30,12,1
"本地","女",30,38,0
"本地","男",26,18,1
"异地","男",36,24,0
"本地","男",30,21,0
"异地","女",30,13,1
"本地","男",25,10,1
"本地","男",25,10,1
"本地","男",31,22,1
"异地","女",31,23,0
"本地","女",38,12,1
"异地","男",27,12,1
"异地","男",26,19,0
"本地","男",36,11,1
"异地","女",31,16,1
"本地","女",21,13,1
"本地","女",26,16,1
"本地","女",26,5,1
"本地","男",38,13,0
"异地","女",26,13,0
"本地","女",40,9,1
"本地","男",28,19,0
"异地","男",30,13,0
"本地","男",25,4,1
