"户籍","性别","年龄","工作时间.月.","是否离职"
"异地","女",37,3,1
"异地","男",31,1,1
"异地","男",25,1,1
"异地","女",28,1,1
"异地","女",21,1,1
"异地","女",29,1,1
"本地","男",28,2,1
"异地","男",35,2,1
"异地","女",21,1,1
"异地","女",25,1,1
"异地","男",26,4,1
"异地","女",25,2,1
"异地","女",27,2,1
"异地","男",33,7,1
"异地","男",25,2,1
"异地","女",26,2,1
"异地","女",25,2,1
"异地","男",26,3,1
"本地","男",26,1,1
"异地","男",26,1,1
"异地","男",21,1,1
"异地","女",20,1,1
"异地","女",21,1,1
"异地","女",32,1,1
"异地","男",25,1,1
"异地","男",20,1,1
"异地","男",26,1,1
"异地","女",20,1,1
"本地","女",32,2,1
"异地","男",25,3,1
"异地","男",45,2,1
"异地","男",30,2,1
"异地","女",41,4,1
"异地","男",27,9,1
"本地","男",31,2,1
"异地","男",31,2,1
"本地","男",25,17,1
"本地","男",26,2,1
"本地","男",20,2,1
"异地","女",26,4,1
"本地","男",36,2,1
"异地","女",22,1,1
"异地","男",30,3,1
"异地","男",32,3,1
"异地","男",26,1,1
"异地","女",26,1,1
"异地","女",26,1,1
"异地","男",27,2,1
"本地","男",37,2,1
"异地","男",31,2,1
"异地","女",31,1,1
"异地","男",25,2,1
"异地","男",21,1,1
"异地","男",25,3,1
"本地","男",25,1,1
"异地","男",23,1,1
"异地","男",21,2,1
"异地","男",31,2,1
"异地","女",26,1,1
"异地","男",21,1,1
"本地","男",32,4,1
"异地","女",20,2,1
"异地","男",26,2,1
"异地","男",28,2,1
"异地","男",35,8,1
"异地","男",30,1,1
"异地","男",30,1,1
"本地","男",26,3,1
"异地","男",20,3,1
"本地","男",21,5,1
"异地","男",28,2,1
"异地","女",27,2,1
"异地","男",26,5,1
"异地","男",31,9,1
"异地","女",27,5,1
"异地","男",28,2,1
"异地","男",25,2,1
"本地","男",25,2,1
"异地","男",25,2,1
"异地","男",25,2,1
"异地","男",20,2,1
"异地","男",30,2,1
"异地","男",28,3,1
"本地","女",27,2,1
"本地","女",27,3,1
"异地","男",25,2,1
"异地","男",26,2,1
"本地","女",30,2,1
"异地","男",32,1,1
"异地","女",32,1,1
"异地","女",25,2,1
"异地","男",32,2,1
"异地","男",34,2,1
"异地","男",32,2,1
"异地","男",31,2,1
"异地","女",26,4,1
"异地","男",27,2,1
"异地","男",32,2,1
"异地","女",26,2,1
"异地","男",25,2,1
"本地","男",21,3,1
"异地","男",27,2,1
"异地","男",28,1,1
"异地","男",26,2,1
"异地","男",23,2,1
"异地","女",26,3,1
"异地","男",26,2,1
"本地","女",27,2,1
"异地","男",26,2,1
"本地","男",40,1,1
"异地","女",21,1,1
"本地","男",27,2,1
"异地","女",21,2,1
"异地","男",30,2,1
"本地","男",27,1,1
"本地","男",30,1,1
"异地","男",27,1,1
"异地","男",21,1,1
"异地","女",38,2,1
"异地","女",21,2,1
"异地","男",27,1,1
"异地","男",35,1,1
"异地","女",21,1,1
"异地","男",26,2,1
"异地","男",26,2,1
"异地","男",30,2,1
"本地","女",25,2,1
"异地","男",25,3,1
"异地","女",27,2,1
"异地","女",31,2,1
"本地","男",31,3,1
"异地","男",26,1,1
"异地","男",47,1,1
"异地","男",26,1,1
"异地","男",25,2,1
"异地","男",28,1,1
"异地","男",26,1,1
"本地","女",30,1,1
"本地","男",32,2,1
"异地","男",26,2,1
"本地","男",33,3,1
"异地","男",27,2,1
"本地","女",21,3,1
"异地","男",21,1,1
"异地","男",31,4,1
