district,bedrooms,halls,area,floor,subway,school,price
海淀,3,2,208.0088466,low,0,0,4.951768983
海淀,3,1,77.68062863,high,1,1,7.951662941
石景山,3,2,125.6209285,high,0,0,2.520651699
石景山,1,1,55.38830362,high,1,0,4.613138168
西城,1,1,47.70258613,high,1,0,9.508483145
石景山,2,1,60.00503074,high,1,0,4.52296357
西城,2,1,67.19148239,high,1,1,9.001684643
东城,1,1,79.26841434,high,1,1,7.742706431
东城,2,1,73.68253861,middle,1,1,7.565215231
西城,3,2,231.8060633,high,1,1,4.933951303
石景山,3,1,78.59284093,low,1,0,5.063275267
西城,5,2,208.8757974,low,0,0,5.014794496
东城,2,1,56.61362608,high,1,1,7.447960968
丰台,2,1,58.75883525,high,1,0,4.711594797
石景山,4,0,90.96557083,low,1,0,4.247370067
朝阳,3,1,76.9719025,high,1,0,4.994870652
东城,4,2,205.5129003,high,1,0,10.04469844
石景山,2,1,65.3307396,high,1,0,4.055169886
海淀,3,1,69.83659628,high,1,1,8.342717922
朝阳,2,1,60.47696344,high,1,0,5.636150524
朝阳,2,1,99.67523868,high,1,0,5.467669227
石景山,3,2,149.1259823,middle,1,0,7.147993525
丰台,4,2,143.5542001,low,1,0,4.518015988
朝阳,4,2,188.089375,middle,0,0,4.475086066
朝阳,4,2,212.2748271,high,1,0,8.912404031
西城,1,1,42.60121817,low,1,1,9.415055602
东城,3,1,76.00498739,high,1,0,8.049211597
朝阳,2,1,68.73469993,high,1,0,6.328296166
东城,2,2,93.14264521,middle,0,0,9.544719511
石景山,3,1,113.0538576,high,1,0,3.782669576
石景山,2,1,58.7602831,high,0,0,3.476332882
丰台,1,0,36.41016808,low,1,0,3.729398408
海淀,2,1,66.5276461,high,1,1,9.454234929
朝阳,2,1,65.43349658,middle,1,0,4.944425331
朝阳,2,1,76.25929662,low,0,0,4.704805175
石景山,4,1,92.27737526,high,1,0,3.501743449
西城,1,1,34.72812516,middle,1,0,8.615651253
丰台,2,1,93.80784692,middle,1,0,4.541478788
石景山,3,1,61.75302971,middle,1,0,3.65792705
朝阳,2,2,99.34061835,high,1,0,4.231656375
东城,3,1,72.04420987,middle,1,0,8.028422468
东城,1,1,51.89243358,low,0,0,4.89478174
朝阳,3,1,95.0205026,high,1,0,4.407972941
西城,3,1,89.09497493,middle,1,1,10.32027336
东城,2,1,109.3556938,low,1,0,8.444826234
东城,2,1,54.81651491,low,1,1,7.802951164
东城,2,1,70.30417077,middle,1,1,10.49784361
朝阳,3,2,292.9624368,low,1,1,7.528114091
朝阳,5,2,220.5787705,high,1,0,5.051867769
海淀,2,1,69.83165938,low,1,0,4.849625717
东城,2,1,73.85137596,high,1,1,8.280663547
东城,3,1,80.01308146,low,1,0,8.331394032
丰台,2,1,93.88866452,high,0,0,3.83209805
石景山,2,1,56.39441024,middle,0,0,2.926856535
海淀,3,0,75.32825811,low,1,1,9.53798654
石景山,1,1,44.54250324,middle,1,0,3.708004732
东城,1,1,62.2848627,middle,1,1,9.510170551
西城,2,1,63.64149049,low,1,1,10.38873093
西城,3,1,77.53092499,low,1,0,6.839681513
丰台,3,1,76.98352579,low,1,0,5.681233365
石景山,3,1,60.00924085,high,1,0,3.73052487
丰台,2,1,70.33171358,high,0,0,2.972420694
朝阳,2,1,97.04178081,high,1,0,6.927285288
东城,3,1,70.8667317,middle,1,1,7.184688084
朝阳,2,1,89.13471312,low,1,0,5.024758584
丰台,2,1,62.55700326,high,1,0,3.944836833
朝阳,2,2,94.94436443,low,1,0,7.02036204
海淀,3,2,161.3388337,low,1,0,5.844975248
海淀,3,1,96.19482998,low,1,1,7.259469637
朝阳,2,1,92.02802082,low,1,1,8.55281829
海淀,2,1,56.07720703,middle,0,0,6.085336759
海淀,2,2,85.38811488,high,1,0,5.340583097
丰台,3,1,119.4670643,middle,1,0,4.954450335
石景山,3,2,151.8049197,middle,1,0,6.322894223
石景山,2,1,77.77227789,middle,1,0,4.366027153
石景山,1,0,49.13751246,middle,0,0,3.667651847
西城,3,1,179.8925894,low,0,0,7.404441169
海淀,3,0,56.4026448,low,0,0,6.118611541
丰台,2,1,133.1785913,low,0,0,3.834231324
海淀,1,1,60.66488834,high,1,1,8.745145622
海淀,2,1,83.35109406,high,0,0,5.205083442
东城,2,1,167.1690511,high,1,0,7.711436863
丰台,4,2,203.5687668,low,1,0,3.959871629
海淀,2,2,81.80950067,high,0,1,8.267126891
朝阳,1,2,75.72934946,high,1,0,4.094879086
东城,2,1,56.25427607,middle,1,1,10.09944885
朝阳,5,2,251.7012887,middle,0,0,6.290408599
朝阳,1,1,37.99602384,low,1,0,4.690287912
海淀,2,1,58.93634625,high,1,1,7.926223701
朝阳,3,2,120.3985462,low,1,0,5.609410997
西城,2,2,61.96130141,middle,1,1,8.449355442
石景山,3,1,127.3419974,high,1,0,3.488789428
海淀,3,1,114.0392439,middle,1,0,5.191246921
